Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
0,4.315392255173315,tensor(2.9140),5.138819942474365,tensor(1.9700)
1,4.214695225591245,tensor(3.3920),4.358592545986175,tensor(3.1400)
2,4.1977185172498075,tensor(3.4980),4.578750354528427,tensor(2.1300)
3,4.186850762428225,tensor(3.5800),4.303203649520874,tensor(2.9100)
4,4.1738048691273955,tensor(3.8160),4.486428834438324,tensor(2.7900)
5,4.166502676961367,tensor(3.7640),4.193633429288864,tensor(3.7500)
6,4.1373901336699195,tensor(3.9520),4.170023606538773,tensor(3.7700)
7,4.062380799247176,tensor(4.5420),4.153496017217636,tensor(3.7100)
8,3.981559369265271,tensor(5.4880),4.286660625696182,tensor(4.9100)
9,3.9018944187847246,tensor(6.4440),4.370251504421234,tensor(3.7800)
10,3.8396135150928936,tensor(7.0300),4.22078677201271,tensor(4.0100)
11,3.7730128783399186,tensor(7.6480),4.909162847042084,tensor(4.3800)
12,3.6694573886559136,tensor(9.3140),5.1314475710392,tensor(4.2300)
13,3.5345386922207025,tensor(11.1460),3.4973694489002227,tensor(11.5400)
14,3.4012029494166067,tensor(13.2360),3.7370002448558806,tensor(9.2300)
15,3.278434223531152,tensor(15.7460),4.198875660657882,tensor(9.0100)
16,3.136091256690452,tensor(18.1660),3.0911928565502165,tensor(20.0900)
17,2.9889095482009145,tensor(21.4640),3.173155954122543,tensor(19.4400)
18,2.8292437191204645,tensor(24.8760),2.90704318356514,tensor(25.4200)
19,2.6834266435764635,tensor(28.7600),4.738963012695312,tensor(11.4700)
20,2.5774934060128447,tensor(31.0980),3.2532745381593706,tensor(20.4200)
21,2.4540659094710486,tensor(34.4800),3.6021599938869477,tensor(19.6700)
22,2.3650840456833313,tensor(36.5120),2.5552840314507486,tensor(34.4400)
23,2.2619804924406357,tensor(38.8080),2.5670088105797766,tensor(34.5300)
24,2.1822504469805666,tensor(40.7320),2.373651390016079,tensor(38.4400)
25,2.1020745471920197,tensor(43.0520),2.8625710269212723,tensor(32.3100)
26,2.0377239555958897,tensor(44.7360),2.207636993587017,tensor(42.0500)
27,1.9651612552535502,tensor(46.5440),2.18874583363533,tensor(43.6600)
28,1.9141427659622543,tensor(47.6540),2.2410110572576523,tensor(42.3400)
29,1.8699339402606114,tensor(49.1060),2.241771315276623,tensor(42.4200)
30,1.8036404229186076,tensor(50.5680),2.012085209488869,tensor(47.3900)
31,1.760802635451412,tensor(52.1160),2.1116086094379427,tensor(45.1800)
32,1.7182265419484404,tensor(53.1780),2.6852954760789873,tensor(36.8900)
33,1.675161176325415,tensor(54.6580),2.015032227665186,tensor(47.7900)
34,1.643426054883796,tensor(55.2800),1.9601442303657532,tensor(48.8600)
35,1.605337211847915,tensor(56.2320),2.1126895012557507,tensor(46.5800)
36,1.5642420928496534,tensor(57.3420),2.0388775328993796,tensor(48.1100)
37,1.5261246109252695,tensor(58.2100),2.66810197865963,tensor(39.1300)
